"report_date","asin","cost","clicks","impressions"
"2021-03-01",NULL,0.0,0,0
"2021-03-02",NULL,0.0,0,0
"2021-03-03",NULL,0.0,0,0
"2021-03-04",NULL,0.0,0,0
"2021-03-05",NULL,0.0,0,0
"2021-03-06",NULL,0.0,0,0
"2021-03-07",NULL,0.0,0,0
"2021-03-08",NULL,0.0,0,0
"2021-03-09",NULL,0.0,0,0
"2021-03-10",NULL,0.0,0,0
"2021-03-11",NULL,0.0,0,0
"2021-03-12",NULL,0.0,0,0
"2021-03-13",NULL,0.0,0,0
"2021-03-14",NULL,0.0,0,0
"2021-03-15",NULL,0.0,0,0
"2021-03-16",NULL,0.0,0,0
"2021-03-17",NULL,0.0,0,0
"2021-03-18",NULL,0.0,0,0
"2021-03-19",NULL,0.0,0,0
"2021-03-20",NULL,0.0,0,0
"2021-03-21",NULL,0.0,0,0
"2021-03-22",NULL,0.0,0,0
"2021-03-23",NULL,0.0,0,0
"2021-03-24",NULL,0.0,0,0
"2021-03-25",NULL,0.0,0,0
"2021-03-26",NULL,0.0,0,0
"2021-03-27",NULL,0.0,0,0
"2021-03-28",NULL,0.0,0,0
"2021-03-29",NULL,0.0,0,0
"2021-03-30",NULL,0.0,0,0
"2021-03-31",NULL,0.0,0,0
"2021-04-01",NULL,0.0,0,0
"2021-04-02",NULL,0.0,0,0
"2021-04-03",NULL,0.0,0,0
"2021-04-04",NULL,0.0,0,0
"2021-04-05",NULL,0.0,0,0
"2021-04-06",NULL,0.0,0,0
"2021-04-07",NULL,0.0,0,0
"2021-04-08",NULL,0.0,0,0
"2021-04-09",NULL,0.0,0,0
"2021-04-10",NULL,0.0,0,0
"2021-04-11",NULL,0.0,0,0
"2021-04-12",NULL,0.0,0,0
"2021-04-13",NULL,0.0,0,0
"2021-04-14",NULL,0.0,0,0
"2021-04-15",NULL,0.0,0,0
"2021-04-16",NULL,0.0,0,0
"2021-04-17",NULL,0.0,0,0
"2021-04-18",NULL,0.0,0,0
"2021-04-19",NULL,0.0,0,0
"2021-04-20",NULL,0.0,0,0
"2021-04-21",NULL,0.0,0,0
"2021-04-22",NULL,0.0,0,0
"2021-04-23",NULL,0.0,0,0
"2021-04-24",NULL,1.12,4,145
"2021-04-24",NULL,4.07,14,2835
"2021-04-24",NULL,1.69,3,648
"2021-04-25",NULL,3.37,5,223
"2021-04-25",NULL,5.09,18,1778
"2021-04-26",NULL,0.45,1,111
"2021-04-26",NULL,0.64,3,723
"2021-04-26",NULL,0.0,0,165
"2021-04-27",NULL,7.63,14,428
"2021-04-27",NULL,3.07,11,3488
"2021-04-27",NULL,3.31,5,886
"2021-04-28",NULL,4.86,7,292
"2021-04-28",NULL,7.29,29,3962
"2021-04-28",NULL,0.0,0,1188
"2021-04-29",NULL,2.23,5,667
"2021-04-29",NULL,3.13,17,2576
"2021-04-29",NULL,2.4,2,655
"2021-04-30",NULL,5.92,10,757
"2021-04-30",NULL,3.03,13,1533
"2021-04-30",NULL,2.28,5,773
"2021-05-01",NULL,10.29,15,852
"2021-05-01",NULL,3.59,13,2548
"2021-05-01",NULL,1.93,3,860
"2021-05-02",NULL,1.46,3,895
"2021-05-02",NULL,3.17,13,2531
"2021-05-02",NULL,2.56,4,400
"2021-05-03",NULL,10.93,18,1173
"2021-05-03",NULL,2.89,11,1656
"2021-05-03",NULL,2.41,3,407
"2021-05-04",NULL,11.16,28,1692
"2021-05-04",NULL,2.86,12,3278
"2021-05-04",NULL,1.94,3,313
"2021-05-05",NULL,6.11,14,1513
"2021-05-05",NULL,3.74,8,2594
"2021-05-05",NULL,1.82,4,411
"2021-05-06",NULL,5.57,16,1167
"2021-05-06",NULL,1.02,4,2310
"2021-05-06",NULL,1.54,3,956
"2021-05-07",NULL,4.39,10,1121
"2021-05-07",NULL,3.75,14,1994
"2021-05-07",NULL,2.25,4,791
"2021-05-08",NULL,2.8,5,741
"2021-05-08",NULL,1.01,5,2185
"2021-05-08",NULL,2.02,2,644
"2021-05-09",NULL,6.62,14,1447
"2021-05-09",NULL,3.51,9,1318
"2021-05-09",NULL,2.04,2,225
"2021-05-10",NULL,5.71,14,1126
"2021-05-10",NULL,3.34,10,1583
"2021-05-10",NULL,1.19,1,719
"2021-05-11",NULL,5.25,11,988
"2021-05-11",NULL,3.47,10,1716
"2021-05-11",NULL,2.4,2,651
"2021-05-12",NULL,3.65,8,1263
"2021-05-12",NULL,2.25,6,1482
"2021-05-12",NULL,3.24,3,73
"2021-05-13",NULL,5.64,11,1197
"2021-05-13",NULL,1.7,5,1810
"2021-05-14",NULL,4.6,6,972
"2021-05-14",NULL,3.37,6,1706
"2021-05-14",NULL,2.72,3,593
"2021-05-15",NULL,4.14,8,1206
"2021-05-15",NULL,4.73,13,1953
"2021-05-15",NULL,3.97,4,572
"2021-05-16",NULL,11.46,16,1402
"2021-05-16",NULL,4.82,16,1891
"2021-05-16",NULL,0.84,1,749
"2021-05-17",NULL,5.47,9,976
"2021-05-17",NULL,4.0,10,1645
"2021-05-17",NULL,2.82,5,651
"2021-05-18",NULL,1.86,4,850
"2021-05-18",NULL,1.56,4,1632
"2021-05-18",NULL,2.87,5,654
"2021-05-19",NULL,0.8,1,864
"2021-05-19",NULL,4.51,12,1648
"2021-05-19",NULL,1.14,2,679
"2021-05-20",NULL,4.08,5,751
