"Date","ASIN","Product Title","Ordered Revenue","Ordered Units","Glance Views","Conversion Rate"
"2021-03-01","C003TFFCLU","Erb - Ginseng Infusion - Crème de Jour Effet Tenseur pour une Peau plus Jeune - 50ml",0.0,0,0,0.0
"2021-03-01","C003TFFCMO","Erb - Ginseng Infusion Total Eye - Crème Yeux Anti- ge et Anti Cernes  - 15ml",21.0,1,24,0.08
"2021-03-01","C006M7JYJ8","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Clair - 45 ml""",132.65,7,126,0.07
"2021-03-01","C007Y5C3I6","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 15 ml""",76.76,9,102,0.08
"2021-03-01","C007Y5FWOS","Erb La Masque Visage Nuit Coup de Fouet, 50 ml",16.95,1,18,0.0
"2021-03-01","C00C8SPXCC","Erb - Crème BB Eye Touche Parfaite - SPF 20 - 15ml",30.0,2,55,0.05
"2021-03-01","C00DL2DN30","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Doré - 15 ml",450.8,49,404,0.12
"2021-03-01","C00MMD725Y","Erb - Yuza Sorbet Night -  Emulsion Nocturne Renforcée - 50ml",76.5,3,33,0.12
"2021-03-01","C00NPV1Z32","Erb - Pink Perfect Crème - Base de Teint Eclat - 15ml",0.0,0,0,0.0
"2021-03-01","C00NPV20PO","Erb Pink Perfect Crème - Effet Grain de Peau Affiné, 45 ml",73.8,4,34,0.03
"2021-03-01","C00QFK1JGS","Erb BB Crème au Ginseng -  SPF 20 - CC Crème Teinte Nude - 45 ml",153.06,8,56,0.11
"2021-03-01","C00SYLGPT2","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Nude - 15 ml""",84.0,10,144,0.08
"2021-03-01","C00SYLH424","CC Crème - Soin Illuminateur du Visage - Doré - 45 ml",322.14,16,157,0.13
"2021-03-01","C00VW4SYQ0","BB Crème au Ginseng - Soin 5-en-1 pour le Visage - Teinte Claire - 15ml",59.15,7,105,0.03
"2021-03-01","C00WLNSX8U","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 45 ml""",56.85,3,60,0.03
"2021-03-01","C00WNYPKRY","Erb - Éponge Konjac au Thé Vert - 1 Unité",0.0,0,2,0.5
"2021-03-01","C00WNYPMRC","Erb L'Huile Nettoyante Solide, 80 g",0.0,0,33,0.03
"2021-03-01","C00WPABW5A","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Clair - 45 ml",498.75,25,257,0.1
"2021-03-01","C00ZRQX6B2","Erb Éponge Konjac Au De Bambou, Doré, Charbon",4.95,1,4,0.0
"2021-03-01","C01084E36E","Erb - CC Crème Homme au Ginseng Noir et au Pin - Effet Mat - SPF 25 - 30 ml",101.5,7,31,0.23
"2021-03-01","C0158P2ZFE","Erb - Bamboo Crème Frappée - Crème de Jour Tonifiante - 50ml",17.75,1,13,0.15
"2021-03-01","C01E7MV4ZQ","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Clair - 15 ml",478.4,52,834,0.06
"2021-03-01","C01II6OHW4","Erb La Masque Tissu Effet Éclat Porcelaine, 15 g",6.68,2,1,0.0
"2021-03-01","C01II6OLTI","Erb Ginseng Le Masque Tissu Effet Lissant, 15 g",17.25,5,7,0.14
"2021-08-01","C003TFFCLU","Erb Ginseng Infusion - Day Crème",0.0,0,0,NULL
"2021-03-01","C06XRWVV79","Erb Glow Crème, Base de Teint Illuminatrice, Doré, 45 ml",36.9,2,15,0.07
"2021-03-01","C06XS1GS7L","Erb Glow Crème, Base de Teint Illuminatrice Transparent, 15 ml",82.0,10,75,0.09
"2021-03-01","C073DH3ZCC","Erb Black Scrub Mask, Masque Exfoliant Purifiant Au Charbon - 50ml",30.0,2,23,0.22
"2021-03-01","C0744JNNH8","Erb Touch Pen, Sculpteur et Perfecteur de Teint à Embout Mousse Doré, 5 ml",0.0,0,14,0.07
"2021-03-01","C075JJZCVH","Erb - Black Soap - Savon Visage Purifiant au Charbon - Soin du Visage - 75g",7.5,1,11,0.09
"2021-03-01","C079DWV7GB","Erb - BB Shot Mask - Masque en Tissu Visage, Effet Éclat \Peau de Bébé\"" - 14g""",10.35,3,16,0.13
"2021-03-01","C07C8HGYBW","Erb - Matte Crème - Base de Teint Matifiante 5-en-1  - 45ml",0.0,0,13,0.08
"2021-03-01","C07CYSL86Y","Erb - Matte Crème - Base de Teint Matifiante 5-en-1 - Effet Flouté - 15ml",90.2,11,69,0.06
"2021-03-01","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml",70.75,5,23,0.04
"2021-03-01","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml",0.0,0,24,0.08
"2021-03-01","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml",12.5,1,8,0.13
"2021-03-01","C07HR9BBNM","Erb Perfect Masking Box Masque",0.0,0,0,0.0
"2021-03-01","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml",13.5,1,22,0.0
"2021-03-01","C07JJP53WY","Erb - Cleansing Water aux 7 Herbes - Eau Micellaire 3-en-1 Rafraîchissante - 190ml",0.0,0,6,0.17
"2021-03-01","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml",152.55,7,87,0.14
"2021-03-01","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml",130.65,13,75,0.04
"2021-03-01","C07NMJ279C","Erb Magic Transformask Masque à transformation lumière - 50ml",21.35,1,5,0.0
"2021-03-01","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml",49.17,3,23,0.09
"2021-03-01","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml",49.17,3,41,0.07
"2021-03-01","C07YSV7L21","Erb Dress Your Skin With BB Clair 348 g",0.0,0,0,NULL
"2021-03-01","C082DLLVF2","Erb Centella Asiatica SPF 25 CC Creme Caramel, 15 ml,",20.1,2,103,0.01
"2021-03-01","C082MQX14W","Erb - CC Dull Correct - Soin Perfecteur Automatique de Teint - Booster d’Eclat, Teint Unifié -  - 15ml",60.3,6,99,0.08
"2021-03-01","C083TX6VBG","Erb - CC Dull Correct - Soin Perfecteur Automatique de Teint - Booster d’Eclat, Teint Unifié - 45ml",65.4,3,25,0.12
"2021-03-01","C084SN1382","Erb Milk & Peel Resurfacing Baume Nettoyant Huile-En-Baume visage 30ml",27.32,2,12,0.08
"2021-03-01","C0858W14SZ","Erb - BB Crayon - Stick de Teint et de Soin - Teinte Nude - 3g",0.0,0,16,0.19
"2021-03-01","C08596KXLW","Erb - BB Crayon - Stick de Teint et de Soin - Perfecteur de Teint - Teinte Claire - 3g",26.78,2,24,0.0
"2021-03-01","C08CVS9ZRF","Erb Red Pepper Paste Mask Masque Soin Concentré d'Eclat, Blanc, 50 ml",0.0,0,4,0.25
"2021-03-01","C08H5GRJC8","Erb Coffret BB Crème & BB Crayon - Doré",0.0,0,0,0.0
"2021-03-01","C08H5H1LH4","Erb Coffret Masque en tissu hydratants",0.0,0,6,0.17
"2021-03-02","C003TFFCLU","Erb - Ginseng Infusion - Crème de Jour Effet Tenseur pour une Peau plus Jeune - 50ml",0.0,0,0,NULL
"2021-03-02","C003TFFCMO","Erb - Ginseng Infusion Total Eye - Crème Yeux Anti- ge et Anti Cernes  - 15ml",63.0,3,18,0.11
"2021-03-02","C006M7JYJ8","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Clair - 45 ml""",246.35,13,91,0.13
"2021-03-02","C007Y5C3I6","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 15 ml""",92.45,11,89,0.1
"2021-03-02","C007Y5FWOS","Erb La Masque Visage Nuit Coup de Fouet, 50 ml",50.85,3,14,0.14
"2021-03-02","C00C8SPXCC","Erb - Crème BB Eye Touche Parfaite - SPF 20 - 15ml",60.0,4,38,0.08
"2021-03-02","C00DL2DN30","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Doré - 15 ml",496.8,54,382,0.1
"2021-03-02","C00MMD725Y","Erb - Yuza Sorbet Night -  Emulsion Nocturne Renforcée - 50ml",51.0,2,27,0.04
"2021-03-02","C00NPV1Z32","Erb - Pink Perfect Crème - Base de Teint Eclat - 15ml",0.0,0,0,0.0
"2021-03-02","C00NPV20PO","Erb Pink Perfect Crème - Effet Grain de Peau Affiné, 45 ml",36.9,2,33,0.06
"2021-03-02","C00QFK1JGS","Erb BB Crème au Ginseng -  SPF 20 - CC Crème Teinte Nude - 45 ml",94.75,5,50,0.04
"2021-03-02","C00SYLGPT2","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Nude - 15 ml""",100.9,12,121,0.12
"2021-03-02","C00SYLH424","CC Crème - Soin Illuminateur du Visage - Doré - 45 ml",420.75,21,130,0.14
"2021-03-02","C00VW4SYQ0","BB Crème au Ginseng - Soin 5-en-1 pour le Visage - Teinte Claire - 15ml",92.7,11,100,0.1
"2021-03-02","C00WLNSX8U","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 45 ml""",56.85,3,67,0.01
"2021-03-02","C00WNYPKRY","Erb - Éponge Konjac au Thé Vert - 1 Unité",4.95,1,2,0.0
"2021-03-02","C00WNYPMRC","Erb L'Huile Nettoyante Solide, 80 g",49.5,3,35,0.0
"2021-03-02","C00WPABW5A","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Clair - 45 ml",478.8,24,229,0.1
"2021-03-02","C00ZRQX6B2","Erb Éponge Konjac Au De Bambou, Doré, Charbon",4.95,1,9,0.33
"2021-03-02","C01084E36E","Erb - CC Crème Homme au Ginseng Noir et au Pin - Effet Mat - SPF 25 - 30 ml",43.5,3,25,0.16
"2021-03-02","C0158P2ZFE","Erb - Bamboo Crème Frappée - Crème de Jour Tonifiante - 50ml",57.36,3,20,0.2
"2021-03-02","C018GOV2TY","Erb - Sève de Bamboo Matte - Sérum Effet Poudré Pores Resserrés - 30ml",0.0,0,0,NULL
"2021-03-02","C01BOJN37C","Erb - Ginseng Milk Lotion - Lotion Lactée Visage, Effet Lissant -  - 190ml",21.35,1,5,0.0
"2021-03-02","C01BVVG2XK","Erb - Sève de Bamboo Eye - Gel Mat Hydratant Contour des Yeux  - 15ml",0.0,0,9,0.11
"2021-03-02","C01E7MV4ZQ","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Clair - 15 ml",442.38,48,678,0.07
"2021-03-02","C01II6OHW4","Erb La Masque Tissu Effet Éclat Porcelaine, 15 g",0.0,0,0,0.0
"2021-03-02","C01II6OLTI","Erb Ginseng Le Masque Tissu Effet Lissant, 15 g",3.45,1,8,0.0
"2021-03-02","C01LCYB3SK","Erb - Yuza Sorbet Eye - Sérum Contour des Yeux - Pour des Yeux plus Jeunes et Radieux  - 190 ml",0.0,0,0,NULL
"2021-03-02","C01LGWAXJS","Erb Liquid BB Crème au Ginseng Coussin de Teint Soin - Clair, 14 g",0.0,0,0,0.0
"2021-03-02","C06XRWVV79","Erb Glow Crème, Base de Teint Illuminatrice, Doré, 45 ml",0.0,0,0,0.0
"2021-03-02","C06XS1GS7L","Erb Glow Crème, Base de Teint Illuminatrice Transparent, 15 ml",49.2,6,64,0.06
"2021-03-02","C073DH3ZCC","Erb Black Scrub Mask, Masque Exfoliant Purifiant Au Charbon - 50ml",45.0,3,3,0.0
"2021-03-02","C0744JDPVP","Erb Touch Pen, Sculpteur et Perfecteur de Teint à Embout Mousse, Clair, 5 ml",0.0,0,0,NULL
"2021-03-02","C0744JNNH8","Erb Touch Pen, Sculpteur et Perfecteur de Teint à Embout Mousse Doré, 5 ml",17.3,1,11,0.0
"2021-03-02","C075JJZCVH","Erb - Black Soap - Savon Visage Purifiant au Charbon - Soin du Visage - 75g",0.0,0,11,0.18
"2021-03-02","C079DWV7GB","Erb - BB Shot Mask - Masque en Tissu Visage, Effet Éclat \Peau de Bébé\"" - 14g""",6.9,2,15,0.0
"2021-03-02","C07C8HGYBW","Erb - Matte Crème - Base de Teint Matifiante 5-en-1  - 45ml",18.45,1,33,0.03
"2021-03-02","C07CYSL86Y","Erb - Matte Crème - Base de Teint Matifiante 5-en-1 - Effet Flouté - 15ml",24.6,3,71,0.15
"2021-03-02","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml",42.45,3,21,0.14
"2021-03-02","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml",28.0,2,13,0.15
"2021-03-02","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml",12.5,1,12,0.17
"2021-03-02","C07HR9BBNM","Erb Perfect Masking Box Masque",0.0,0,0,0.0
"2021-03-02","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml",13.5,1,13,0.15
"2021-03-02","C07JJP53WY","Erb - Cleansing Water aux 7 Herbes - Eau Micellaire 3-en-1 Rafraîchissante - 190ml",11.5,1,2,0.0
"2021-03-02","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml",261.5,12,61,0.13
"2021-03-02","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml",50.25,5,77,0.17
